"","placeID","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","trapping_rate_fox"
"1",1,51.38039345,-0.262186053,14,0,13,0,0.928571428571429
"2",2,51.3804336,-0.2609908,14,2,17,0.142857142857143,1.21428571428571
"3",3,51.38134233,-0.26370321,14,0,3,0,0.214285714285714
"4",4,51.3822912,-0.26370321,14,1,31,0.0714285714285714,2.21428571428571
"5",5,51.382848,-0.264896,14,0,8,0,0.571428571428571
"6",6,51.38418894,-0.26825468,14,1,21,0.0714285714285714,1.5
"7",7,51.38418894,-0.266737523,14,0,16,0,1.14285714285714
"8",8,51.4054279,-0.2463401,14,0,37,0,2.64285714285714
"9",9,51.384932,-0.268082,14,4,30,0.285714285714286,2.14285714285714
"10",10,51.38513781,-0.266737523,14,0,28,0,2
"11",11,51.4053122,-0.2451384,14,0,8,0,0.571428571428571
"12",12,51.386141,-0.268487,14,1,3,0.0714285714285714,0.214285714285714
"13",13,51.386273,-0.253174,14,0,30,0,2.14285714285714
"14",14,51.386103,-0.2519,14,0,91,0,6.5
"15",15,51.386077,-0.249689,14,0,9,0,0.642857142857143
"16",16,51.38608669,-0.248531643,14,3,54,0.214285714285714,3.85714285714286
"17",17,51.3862742,-0.2469716,14,1,2,0.0714285714285714,0.142857142857143
"18",18,51.4023788,-0.2451734,14,0,73,0,5.21428571428571
"19",19,51.38693,-0.267638,14,3,79,0.214285714285714,5.64285714285714
"20",20,51.388002,-0.251544,14,0,68,0,4.85714285714286
"21",21,51.3869251,-0.2501454,14,0,56,0,4
"22",22,51.3869619,-0.2483171,14,0,111,0,7.92857142857143
"23",23,51.38703556,-0.247014487,14,0,14,0,1
"24",24,51.388188,-0.268741,14,0,64,0,4.57142857142857
"25",25,51.38798443,-0.248531643,14,3,75,0.214285714285714,5.35714285714286
"26",26,51.4028486,-0.2449272,14,0,33,0,2.35714285714286
"27",27,51.404387,-0.254819,14,2,13,0.142857142857143,0.928571428571429
"28",28,51.404896,-0.252938,14,9,13,0.642857142857143,0.928571428571429
"29",29,51.405601,-0.248988,14,1,65,0.0714285714285714,4.64285714285714
"30",30,51.405898,-0.247343,14,0,40,0,2.85714285714286
